60,62,64,65,67,69,71,C Major
67,69,71,60,62,64,65,G Major
60,62,64,65,67,69,71,D Major
60,62,64,65,67,69,71,C Major
60,62,64,65,67,69,71,A Major
60,62,64,65,67,69,71,E Major
60,62,64,65,67,69,71,B Major
60,62,64,65,67,69,71,F Major
60,62,64,65,67,69,71,Bb Major
60,62,64,65,67,69,71,Eb Major
60,62,64,65,67,69,71,Ab Major
60,62,64,65,67,69,71,Db Major
57,59,60,62,64,65,67,A Minor 
57,59,60,62,64,65,67,D Minor 
57,59,60,62,64,65,67,G Minor 
57,59,60,62,64,65,67,C Minor 
57,59,60,62,64,65,67,Bb Minor 
57,59,60,62,64,65,67,E Minor 
57,59,60,62,64,65,67,B Minor 
57,59,60,62,64,65,67,F# Minor 
57,59,60,62,64,65,67,C# Minor 
57,59,60,62,64,65,67,G# Minor 

